Product_name,Price,PricePer100g,Weight,Text
Naturals,1.69,1.54,110,"Lorenz. Naturals mit Meersalz & Pfeffer. Unverfälschter Genuss. Mit natürlichen Zutaten. Ohne künstliche Aromen. Ohne Konservierungsstoffe. Und ohne Gluten. Der pure Genuss! NATURALS werden mit rein natürlichen Zutaten hergestellt. Das Naturals Reinheitsgebot. Die speziellen Kartoffelsorten für NATURALS beziehen wir nur aus unserem eigenen Vertragsanbau. Dieser wird streng und regelmäßig kontrolliert. Mit der Schale werden die Kartoffeln in wertvollem Sonnenblumenöl schonend gebacken. Mit den besten ausgesuchten Gewürzen ohne Konservierungsstoffe, ohne künstliche Aromen und Farbstoffe werden NATURALS zum unverfälschten Genuss. Kartoffelchips in Schale geröstet mit Meersalz und Pfeffer. Glutenfrei. Qualitäts-Garantie Lorenz. Kontrollierte Markenqualität. Beste Zutaten. Ohne Konservierungsstoffe. NATURALS werden mit größter Sorgfalt und ohne Konservierungsstoffe hergestellt. Jede Packung verlässt das Werk in höchster Qualität."
Dorfchips,0.99,0.57,175,"Goldmarie. Dorfchips aus der Heimat. Sorte: Salz. Garantie: kontrollierte Qualität und kontrollierter Kartoffelanbau. Goldmarie. Wochenmarkt ist jetzt täglich - mit den hochwertigen Lebensmitteln von Goldmarie! Entdecken Sie ein frisches, natürliches Lebensmittel hoher Qualität. Die Verarbeitung der Dorfchips erfolgt mit besten Zutaten und größter Sorgfalt von deutschen Herstellern. Goldmarie - So gut wie vom Wochenmarkt. Kartoffelchips Salz."
Küstengold,0.99,0.5,200,"Küstengold. Salz Chips. Küstengold Salz-Chips ist ein Lebensmittel ausgewählter Produzenten. Dabei achten wir bei der Verarbeitung auf garantierte Frische und beste Zutaten. KÜSTENGOLD: Für die Menschen von hier. Küstengold Salz-Chips. Kartoffelchips mit Salz. Gemäß Prüfungen durch SGS INSTITUT FRESENIUS."
HofChips,1.99,1.81,110,"Lorenz. HofChips aus besten deutschen Anbauregionen. Sauerrahm & Schnittlauch. Ländlich-rustikal gewürzt. Knusprig im Kessel geröstet. Lorenz. HofChips aus besten deutschen Anbauregionen. Sauerrahm & Schnittlauch. Wir von Lorenz Snack-World arbeiten partnerschaftlich mit Landwirten aus den Regionen Lüneburger Heide, Oberpfalz und Niederbayern zusammen. Diese ernten für uns beste Kartoffeln, die unsere HofChips so lecker machen. Die Kartoffeln werden sorgfältig gewaschen, samt Schale in dünne Scheiben geschnitten, im Kessel mit Sonnenblumenöl geröstet und ländlich-rustikal gewürzt. Dadurch bekommen sie ihren unverwechselbaren Geschmack. Glutenfrei. Kartoffelchips in Schale geröstet mit Sauerrahm- und Schnittlauch-Würzung."
Lays,1.59,0.91,175,"Lay's. Hot & Spicy. Lay's - die Nr 1 Chips-Marke der Welt mit großartig schmeckenden Chips für ein fantastisches Geschmackserlebnis. Bei der Herstellung unserer Chips gehen wir sehr sorgfältig vor. Wir wählen nur die besten Zutaten aus, backen schonend für eine besondere Knusprigkeit und würzen in einer breiten Vielfalt von klassischen bis hin zu intensiveren und überraschenden Geschmacksrichtungen. Lay's Chips, perfekt um sie mit Freunden und der Familie zu teilen! Lay's Chips. Die perfekte Balance aus Knusprigkeit und leckerem Geschmack. Nr 1 Chips-Marke der Welt. Kartoffelchips scharf gewürzt."
KrosseKerle,1.99,1.73,115,"Heimart. Seit 2010. Krosse Kerle. Salz & Pfeffer. Mit Herz und Verstand. Vom Landwirt selbst hergestellt. Glutenfrei. Vegetarier geeignet. Heimart. Das sind Heiner & Martin. Cousins und Landwirte aus Leidenschaft mit einer ganz besonderen Liebe für Kartoffeln. Und für die KROSSEN KERLE, die extrakrossen Landkartoffelchips aus eigener Produktion. Schritt für Schritt werden sie direkt auf dem familieneigenen Kartoffelhof hergestellt. Dass die Kartoffeln dabei aus eigenem Anbau stammen, ist Ehrensache. Schließlich herrscht auf dem Hof Reiseverbot. Zumindest für die Kartoffeln, denn die kommen nicht weiter als Heiner mit seinem Traktor fahren würde - vom Acker bis zum Hof. Und das ist gut so. Einfach krossartig! Die KROSSEN KERLE werden direkt auf Johannings Kartoffelhof hergestellt. Bei der Produktion stehen die Sicherheit und Gesundheit der Menschen, der Umwelt sowie der Schutz der natürlichen Ressourcen an oberster Stelle. Dieses und unsere Erfahrung im Kartoffelanbau in 3. Generation garantieren beste Qualität. Kartoffelchips in Schale geröstet mit Salz & Pfeffer."
Chipsfrisch,1.29,0.57,175,"Funny-frisch. Chipsfrisch gesalzen. Nur beste Zutaten. Beste Kartoffeln. Reines Sonnenblumenöl. Purer Geschmack. Unsere Chipsfrisch gesalzen. Der pure Genuss. Oft sind die einfachen Dinge die Besten - wie unsere Chipsfrisch gesalzen. Für sie verwenden wir ausgesuchte Kartoffeln und wertvolles Sonnenblumenöl und das Ganze verfeinern wir mit Salz. Mehr braucht es nicht. Einfach, ehrlich, pur! Zum puren Geschmack gibt es die funny-frische Knusprigkeit: Wir schneiden unsere Kartoffelscheiben hauchdünn! Erst das macht unsere Chipsfrisch zum legendären Genuss! Unsere Kartoffeln kommen ausschließlich von ausgesuchten Vertragsbauern. Wir verwenden reines Sonnenblumenöl. Ohne Zusatz von geschmacksverstärkenden Zusatzstoffen. Glutenfrei. Für Vegetarier geeignet. Kartoffelchips."
Crunchips,1.29,0.74,175,"Crunchips. Salted. Wo Crunchips ist, ist Party. It's party time. Einfach aufreißen und loscrunchen. So gut, die musst du einfach teilen. Qualitäts-Garantie Lorenz. Kontrollierte Markenqualität. Beste Zutaten. Ohne Konservierungsstoffe. Crunchips werden mit größter Sorgfalt aus ausgewählten Zutaten hergestellt."
KettleChips,1.99,1.33,150,"Kettle chips. Hand cooked. Sea salt. Traditional hand cooked potato chips. Hand cooked potato chips, sea salt. Good to know. Our chips are hand cooked with care in small batches. We season our chips with real food ingredients and never use artificial flavors and colors. We only cook our chips in sunflower oil. KETTLE Chips are sliced thicker for that unique KETTLE crunch."
JedenTagChips,0.69,0.35,200,"Jeden Tag. Chips. Kartoffelchips mit Paprika in 100% Sonnenblumenöl gebacken. Jeden Tag. Chips. Kartoffelchips mit Paprikawürzung."
ClarkysKesselChips,0.89,0.59,150,"Clarkys. Enjoy the taste! Kessel Chips. Salt & vinegar. Ohne Geschmacksverstärker. Dicke Scheiben - extra knusprig. Clarkys. Enjoy the taste. Kessel chips. Salt & Vinegar. Das Außergewöhnliche der Clarky's Kesselchips ist ihr krosser Biss. Dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang geröstet und mit einer raffinierten Würzung abgerundet. Kartoffelchips in Schale geröstet mit Salz und Essig-Geschmack. Ohne Hefeextrakt."
CrustiCroc,0.89,0.45,200,"Crusti Croc Salz. Kartoffeln aus Deutschland. Verwendet werden ausschließlich erlesene Kartoffeln, die einer ständigen Qualifikationskontrolle unterliegen. Die feinen Kartoffelscheiben werden in hochwertigen High-Oleic-Sonnenblumenöl ausgebacken, das von Natur aus einen hohen Anteil an ungesättigten Fettsäuren hat. Kartoffelchips mit Speisesalz."
FeurichGourmet,0.79,0.63,125,"Feurich. Gourmet Kartoffelchips. Meersalz & Pfeffer. Für dieses Gourmet-Produkt verwenden wir nur erstklassige Zutaten und achten auf feinste Zubereitung. Reines Sonnenblumenöl. Mit Schale gebacken. Feurich. Gourmet Kartoffelchips. Meersalz & Pfeffer. Mit Schale in reinem Sonnenblumenöl. Ausgewählte Kartoffeln aus kontrolliertem Anbau. Feinste Würzmischung. Kartoffelchips mit Schale frittiert Meersalz & Pfeffer."
Trafo,1.79,1.43,125,"Trafo. Bio-organic snacks. Bio organic potato chips natural. Natürlich lecker. Unsere Bio Kartoffel Chips werden in unserem Familienbetrieb nach alter Tradition gebacken. Wir verwenden nur die besten Kartoffelsorten, die in fruchtbaren Boden biologisch angebaut werden. Dabei bevorzugen wir regionale Kartoffeln aus den Niederlanden oder Deutschland. Wir verwenden zu 100% ungehärtetes biologisches Sonnenblumenöl. Trafo. Bio-organic snacks. Kartoffelchips. Aus kontrolliert biologischem Anbau. This product is gluten free."
HandCookedChips,2.29,1.82,125,"Thick cut. Bio-organic hand cooked chips. Seasalt. Slow and longer fried than regular chips. Low temperature, fried at max 165 degrees. More bite and taste. Handgefertigte Chips gesalzen."
DeRit,2.49,1.99,125,"Aus besten Anbaugebieten. 1969. De Rit organics. Kartoffelchips schonend mit Schale gebacken. Meersalz. Für unsere knusprigen Kartoffelchips verwenden wir feinste Kartoffelsorten aus kontrolliert biologischem Anbau. In hochwertigem kaltgepressten High Oleic Sonnenblumenöl (von Natur aus reich an einfach ungesättigten Fettsäuren) werden die Chips schonend in der Schale gebacken. Verfeinert mit einer Prise Meersalz ein knuspriger Knabbergenuss. Aus kontrolliert biologischem Anbau. Kartoffelchips mit Meersalz. 1969. De Rit organics."
FeurichChips,0.69,0.35,200,"Feurich. Chips Paprika Geschmack. Kartoffelchips mit Paprika-Geschmack. Feurich. Chips Paprika Geschmack."
Tyrrells,2.29,1.53,150,"Tyrrell's. hand-cooked English crisps. sea salt and black pepper. Best ever recipe. Est Herefordshire, England. Tyrrell's. hand-cooked English crisps. sea salt and cracked black pepper. A time-honoured marriage: sea salt and that most cracking of spices. They're made with the finest local potatoes, complete with jackets, hand-cooked in small batches and spun to achieve our signature crunch. Kartoffelchips gewürzt mit Meersalz und grob gemahlenem schwarzen Pfeffer. Gluten free. Suitable for vegans. No artificial ingredients. England Rugby Official Crisp."
JA,0.69,0.35,200,"ja! Kartoffelchips mit Paprika-Geschmack. Kartoffel-Chips mit Paprikageschmack."
Chio,1.99,1,200,"Chio. Red Paprika Chips. Mit reinem Sonnenblumenöl. Ausgewählte Gewürze. Chio. Das Chio-Qualitätsversprechen für Premium Genuss - beste Zutaten. Ohne geschmacksverstärkende Zusatzstoffe. Ohne künstliche Farbstoffe. Beste Kartoffeln aus kontrolliertem Anbau. Reines Sonnenblumenöl. Unvergleichliche Gewürzrezepturen. Für den einzigartigen Chio Geschmack. Für Vegetarier geeignet. Glutenfrei. Kartoffelchips mit Paprika-Geschmack."
WorldOfChips,0.79,0.64,125,"World of Chips. Meersalz und Pfeffer Potato Crisps. Knusprige Kartoffelchips mit Meersalz & Pfeffer."
Classic,0.89,0.6,150,"Classic. Kesselchips. Mit Schale gebacken. Kross und knusprig. Im Kessel gebacken. Salt & Vinegar. Mit Sonnenblumenöl. Classic. Kesselchips. Kartoffelchips mit Schale gebacken, mit Salz- und Essiggeschmack. Unsere Zufriedenheitsgarantie. K-Classic ist Qualität - garantiert. Das Geheimnis unserer knusprigen K-Classic Kesselchips liegt in ihrem Herstellungsverfahren. Für unsere Chips werden ausgesuchte Kartoffeln verwendet und inklusive Schale besonders dick geschnitten. Im Kessel backen sie ausschließlich in Sonnenblumenöl und werden noch von Hand gerührt. Der unvergleichliche Geschmack der K-Classic Kesselchips kommt durch ihre feine Würzung. K-Classic Kesselchips - ein besonderer Genuss. Mit wertvollem Sonnenblumenöl. K-Classic legt bei seinen Produkten Wert auf ausgesuchte Zutaten, die regelmäßig kontrolliert werden. Für die Herstellung der K-Classic Kesselchips wird Sonnenblumenöl eingesetzt. Dieses ist von Natur aus reich an ungesättigten Fettsäuren."
Lisas,1.99,1.81,110,"Lisa's Bio Kesselchips. Rosmarin & Meersalz. Craft chips. Lisa's Bio Kesselchips. Handgekochte Chips mit Charakter. Wir kochen unsere Chips im Kessel und verwenden dafür nur die besten Zutaten. Bio. Glutenfrei. Vegan. Rohstoffe aus kontrolliert biologischem Anbau. Hergestellt in Deutschland. Bio-Kartoffelchips mit Rosmarin und Meersalz. Gekocht von David. In Kessel Nr 4."
GutUndGünstigChips,0.69,0.35,200,"Gut & Günstig. Chips Paprika. Mit Sonnenblumenöl. Goldener Preis 2017. DLG. Gut & Günstig. Chips Paprika. Kartoffelchips mit Paprikageschmack."
GutUndGünstigKessel,0.89,0.59,150,"Gut & Günstig. Kessel Chips. Knusprig im Kessel frittiert. Sea salt & vinegar. Extra dicke Scheiben. Goldener Preis 2017. DLG. Gut & Günstig. Kessel Chips. Sea salt & vinegar. Das Außergewöhnliche der Gut & Günstig Kesselchips ist ihr besonders krosser Biss, der Chipsfans begeistert. Dazu werden extra dicke Kartoffelscheiben bei niedrigen Temperaturen besonders lang frittiert, bis sie wunderbar knusprig sind. Zusammen mit der raffinierten Würzung entsteht so ein intensives und sehr knuspriges Geschmackserlebnis. Ohne Hefeextrakt. Kartoffelchips in Schale geröstet mit Meersalz und Essig-Geschmack. Im Kessel frittiert. Extra knusprig durch dicke Scheiben."